"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"1","Hombre","Primaria","Austria",77,60,60,1,1,0,0,8,4
"2","Mujer","Secundaria Inferior","Austria",15,15,300,5,0.25,5,10,8,4
"3",NA,"Secundaria Superior","Austria",66,90,40,0.67,1.5,7,10,8,3
"4","Hombre","Master/Doctorado","Austria",28,25,240,4,0.42,5,8,9,5
"5","Mujer","Master/Doctorado","Austria",54,60,180,3,1,7,10,8,4
"6",NA,"Secundaria Inferior","Austria",81,120,NA,NA,2,1,8,8,5
"7","Hombre","Grado Universitario","Austria",57,120,180,3,2,4,8,8,4
"8","Hombre","Secundaria Superior","Austria",73,180,360,6,3,5,10,10,5
"9","Mujer","Grado Universitario","Austria",41,10,180,3,0.17,3,9,5,3
"10","Mujer","Formacion Profesional","Austria",55,1,180,3,0.02,5,6,6,4
"11","Hombre","Formacion Profesional","Austria",35,150,270,4.5,2.5,2,1,8,5
"12","Mujer","Secundaria Superior","Austria",NA,60,60,1,1,0,0,5,4
"13","Hombre","Secundaria Superior","Austria",55,60,60,1,1,1,3,8,3
"14","Mujer","Secundaria Inferior","Austria",65,120,120,2,2,0,7,8,4
"15","Mujer","Secundaria Superior","Austria",29,10,510,8.5,0.17,2,6,5,3
"16","Hombre","Bachiller","Austria",27,120,180,3,2,1,8,3,5
"17","Mujer","Grado Universitario","Austria",27,60,180,3,1,2,7,1,3
"18",NA,NA,"Austria",NA,30,120,2,0.5,1,7,8,4
"19","Hombre","Secundaria Superior","Austria",41,180,240,4,3,2,3,5,5
"20","Hombre","Secundaria Superior","Austria",32,60,90,1.5,1,1,8,8,4
"21","Mujer","Master/Doctorado","Austria",35,60,240,4,1,6,10,7,5
"22","Mujer","Bachiller","Austria",20,40,300,5,0.67,1,10,1,4
"23",NA,NA,"Austria",NA,60,420,7,1,8,10,9,5
"24","Hombre","Secundaria Superior","Austria",26,119,210,3.5,1.98,0,9,9,5
"25","Hombre","Secundaria Superior","Austria",61,30,120,2,0.5,3,2,3,2
"26","Mujer","Formacion Profesional","Austria",58,60,180,3,1,0,0,8,5
"27","Hombre","Master/Doctorado","Austria",68,10,360,6,0.17,3,9,7,4
"28","Hombre","Formacion Profesional","Austria",51,60,150,2.5,1,3,6,8,4
"29","Hombre","Primaria","Austria",16,60,360,6,1,3,9,9,5
"30","Hombre",NA,"Austria",73,20,NA,NA,0.33,0,10,10,5
"31","Mujer","Bachiller","Austria",27,30,180,3,0.5,2,9,7,4
"32","Hombre","Secundaria Superior","Austria",36,10,120,2,0.17,1,7,8,4
"33","Hombre","Secundaria Superior","Austria",66,60,180,3,1,1,1,3,4
"34","Mujer","Bachiller","Austria",56,60,600,10,1,3,7,8,4
"35","Mujer","Formacion Profesional","Austria",51,10,120,2,0.17,6,7,6,3
"36","Mujer","Secundaria Inferior","Austria",77,90,NA,NA,1.5,2,3,8,4
"37","Hombre","Secundaria Inferior","Austria",31,120,120,2,2,3,10,7,4
"38","Hombre","Secundaria Superior","Austria",67,10,NA,NA,0.17,3,9,9,4
"39","Hombre",NA,"Austria",48,90,480,8,1.5,5,7,5,5
"40","Mujer","Secundaria Superior","Austria",39,30,30,0.5,0.5,0,5,10,5
"41","Hombre","Secundaria Superior","Austria",39,10,20,0.33,0.17,1,2,6,4
"42","Hombre","Master/Doctorado","Austria",54,30,60,1,0.5,5,8,8,4
"43","Mujer","Formacion Profesional","Austria",18,10,420,7,0.17,6,7,8,4
"44","Mujer","Secundaria Superior","Austria",43,30,30,0.5,0.5,1,5,9,4
"45","Mujer","Secundaria Superior","Austria",55,30,60,1,0.5,0,0,5,3
"46","Hombre","Master/Doctorado","Austria",37,10,120,2,0.17,2,10,8,5
"47","Hombre","Formacion Profesional","Austria",59,5,60,1,0.08,1,1,7,4
"48","Hombre","Secundaria Superior","Austria",70,60,NA,NA,1,2,8,8,4
"49","Mujer","Grado Universitario","Austria",26,20,600,10,0.33,2,8,7,4
"50","Hombre","Secundaria Superior","Austria",52,120,60,1,2,9,6,9,4
"51","Hombre","Grado Universitario","Austria",67,60,60,1,1,7,8,7,4
"52","Mujer","Formacion Profesional","Austria",47,15,300,5,0.25,0,8,7,5
"53","Mujer","Secundaria Superior","Austria",60,90,90,1.5,1.5,4,6,8,4
"54","Mujer","Master/Doctorado","Austria",48,15,600,10,0.25,5,7,7,4
"55","Mujer","Secundaria Superior","Austria",45,60,480,8,1,2,3,9,4
"56","Hombre","Secundaria Superior","Austria",81,90,NA,NA,1.5,5,5,3,3
"57","Mujer","Bachiller","Austria",51,45,270,4.5,0.75,4,8,9,4
"58","Mujer","Secundaria Inferior","Austria",15,30,300,5,0.5,7,9,10,5
"59","Hombre","Secundaria Superior","Austria",27,30,180,3,0.5,0,9,8,5
"60","Mujer","Master/Doctorado","Austria",41,15,120,2,0.25,4,8,10,5
"61","Mujer","Formacion Profesional","Austria",49,20,NA,NA,0.33,7,7,5,3
"62","Hombre","Secundaria Superior","Austria",64,60,150,2.5,1,1,7,7,3
"63","Mujer","Master/Doctorado","Austria",32,30,480,8,0.5,5,7,9,5
"64","Hombre","Grado Universitario","Austria",62,120,600,10,2,2,5,7,5
"65","Hombre","Secundaria Superior","Austria",29,10,NA,NA,0.17,3,7,6,5
"66","Hombre","Formacion Profesional","Austria",NA,0,NA,NA,0,0,4,3,4
"67","Mujer","Secundaria Superior","Austria",70,90,40,0.67,1.5,2,4,5,4
"68","Mujer",NA,"Austria",16,90,765,12.75,1.5,5,10,5,4
"69","Hombre","Secundaria Superior","Austria",53,45,30,0.5,0.75,0,7,8,4
"70","Mujer","Secundaria Superior","Austria",28,20,360,6,0.33,0,4,4,4
"71","Mujer","Formacion Profesional","Austria",58,10,47,0.78,0.17,1,2,5,4
"72","Hombre","Formacion Profesional","Austria",51,45,360,6,0.75,1,8,5,3
"73","Hombre","Secundaria Superior","Austria",NA,180,120,2,3,0,7,8,4
"74","Mujer","Grado Universitario","Austria",28,60,300,5,1,2,1,9,4
"75","Hombre","Master/Doctorado","Austria",44,90,180,3,1.5,6,10,8,4
"76","Hombre","Secundaria Inferior","Austria",74,60,60,1,1,4,7,8,3
"77","Mujer","Secundaria Superior","Austria",49,30,15,0.25,0.5,1,7,10,4
"78","Mujer","Bachiller","Austria",59,5,5,0.08,0.08,5,5,9,5
"79","Hombre","Bachiller","Austria",19,30,265,4.42,0.5,0,6,8,4
"80","Hombre","Secundaria Superior","Austria",31,15,180,3,0.25,0,5,7,4
"81","Mujer","Formacion Profesional","Austria",21,120,360,6,2,4,8,6,4
"82","Hombre","Bachiller","Austria",44,15,240,4,0.25,4,4,8,4
"83","Hombre","Master/Doctorado","Austria",34,30,600,10,0.5,3,9,4,5
"84","Hombre",NA,"Austria",57,110,480,8,1.83,2,8,3,3
"85","Hombre","Master/Doctorado","Austria",30,60,720,12,1,2,9,7,3
"86","Hombre","Secundaria Superior","Austria",80,120,60,1,2,0,3,5,3
"87","Mujer","Master/Doctorado","Austria",60,60,120,2,1,3,7,9,4
"88","Mujer","Formacion Profesional","Austria",47,30,60,1,0.5,5,7,7,4
"89","Mujer","Formacion Profesional","Austria",22,30,630,10.5,0.5,6,7,8,4
"90","Mujer","Grado Universitario","Austria",29,60,360,6,1,1,7,9,4
"91","Hombre","Master/Doctorado","Austria",35,45,480,8,0.75,5,9,6,4
"92","Hombre","Bachiller","Austria",NA,60,720,12,1,1,9,7,3
"93",NA,NA,"Austria",NA,30,90,1.5,0.5,5,8,7,4
"94","Mujer","Formacion Profesional","Austria",42,60,180,3,1,0,1,10,5
"95","Hombre","Secundaria Superior","Austria",78,120,NA,NA,2,2,7,8,3
"96","Hombre","Formacion Profesional","Austria",73,30,NA,NA,0.5,7,8,6,4
"97","Mujer","Master/Doctorado","Austria",31,20,120,2,0.33,5,8,1,5
"98","Hombre","Secundaria Superior","Austria",40,90,360,6,1.5,0,8,8,4
"99","Mujer","Secundaria Superior","Austria",80,60,NA,NA,1,0,4,5,3
"100","Mujer","Formacion Profesional","Austria",31,20,330,5.5,0.33,2,8,3,4
"101","Mujer","Formacion Profesional","Austria",80,120,NA,NA,2,1,6,6,3
"102","Hombre","Master/Doctorado","Austria",56,90,480,8,1.5,5,8,10,5
"103","Hombre","Formacion Profesional","Austria",53,90,180,3,1.5,6,8,8,4
"104","Mujer","Secundaria Superior","Austria",39,90,NA,NA,1.5,5,5,5,4
"105","Mujer","Formacion Profesional","Austria",56,59,NA,NA,0.98,2,10,8,5
"106","Mujer","Secundaria Superior","Austria",60,10,NA,NA,0.17,0,3,2,2
"107","Hombre","Secundaria Superior","Austria",NA,60,NA,NA,1,3,7,8,4
"108","Mujer","Bachiller","Austria",29,15,180,3,0.25,1,2,8,5
"109","Mujer","Formacion Profesional","Austria",59,90,240,4,1.5,2,2,10,5
"110","Mujer","Master/Doctorado","Austria",51,60,540,9,1,7,9,1,4
"111","Mujer","Secundaria Inferior","Austria",74,180,NA,NA,3,2,10,7,4
"112","Mujer","Formacion Profesional","Austria",61,120,NA,NA,2,0,0,4,1
"113","Hombre","Secundaria Superior","Austria",54,30,480,8,0.5,3,6,7,3
"114","Hombre","Bachiller","Austria",18,100,330,5.5,1.67,4,7,8,5
"115","Hombre","Secundaria Superior","Austria",65,30,600,10,0.5,1,3,10,5
"116","Mujer","Formacion Profesional","Austria",52,30,480,8,0.5,3,9,8,3
"117","Hombre","Bachiller","Austria",36,120,240,4,2,2,7,7,4
"118","Hombre","Secundaria Superior","Austria",53,15,90,1.5,0.25,3,5,8,5
"119","Mujer","Primaria","Austria",88,60,120,2,1,4,6,6,4
"120","Mujer","Grado Universitario","Austria",55,120,120,2,2,1,8,8,4
"121","Mujer","Grado Universitario","Austria",41,15,180,3,0.25,2,9,6,4
"122","Mujer","Secundaria Superior","Austria",29,150,420,7,2.5,0,6,9,5
"123","Mujer","Secundaria Superior","Austria",32,0,30,0.5,0,1,6,8,3
"124","Mujer","Formacion Profesional","Austria",60,120,540,9,2,5,8,7,5
"125","Hombre","Master/Doctorado","Austria",66,90,150,2.5,1.5,6,9,5,3
"126","Hombre","Master/Doctorado","Austria",54,120,420,7,2,4,5,8,2
"127","Mujer","Formacion Profesional","Austria",78,60,40,0.67,1,4,5,7,4
"128","Mujer","Primaria","Austria",66,60,NA,NA,1,10,10,0,2
"129","Mujer","Secundaria Inferior","Austria",79,150,NA,NA,2.5,7,9,9,4
"130","Hombre","Secundaria Superior","Austria",71,60,NA,NA,1,2,5,8,3
"131","Mujer","Secundaria Inferior","Austria",56,30,40,0.67,0.5,5,5,8,4
"132","Hombre","Grado Universitario","Austria",32,120,720,12,2,4,9,8,5
"133","Mujer","Bachiller","Austria",18,120,270,4.5,2,2,10,3,4
"134","Hombre","Secundaria Superior","Austria",54,20,NA,NA,0.33,3,8,3,4
"135","Mujer","Secundaria Superior","Austria",64,20,10,0.17,0.33,3,9,8,2
"136","Mujer","Secundaria Superior","Austria",41,30,30,0.5,0.5,0,2,9,5
"137","Mujer","Master/Doctorado","Austria",36,7,120,2,0.12,3,5,8,5
"138","Mujer","Secundaria Superior","Austria",43,90,180,3,1.5,0,10,10,5
"139","Mujer","Grado Universitario","Austria",58,60,120,2,1,1,6,8,4
"140","Hombre","Formacion Profesional","Austria",63,60,120,2,1,2,5,2,4
"141","Hombre","Master/Doctorado","Austria",38,15,180,3,0.25,3,9,7,5
"142","Hombre","Formacion Profesional","Austria",48,30,180,3,0.5,5,7,8,4
"143","Hombre","Secundaria Inferior","Austria",57,150,NA,NA,2.5,7,8,5,2
"144","Mujer","Bachiller","Austria",40,90,180,3,1.5,8,8,4,4
"145","Mujer","Bachiller","Austria",66,80,30,0.5,1.33,7,10,8,4
"146","Hombre","Secundaria Superior","Austria",46,90,240,4,1.5,0,4,8,5
"147","Hombre","Master/Doctorado","Austria",75,60,60,1,1,2,8,8,5
"148","Hombre","Formacion Profesional","Austria",21,60,360,6,1,0,10,10,5
"149","Hombre","Secundaria Superior","Austria",66,120,30,0.5,2,0,5,5,3
"150","Hombre","Formacion Profesional","Austria",NA,120,240,4,2,1,8,5,4
"151","Mujer","Secundaria Inferior","Austria",69,90,60,1,1.5,0,4,3,3
"152","Hombre","Master/Doctorado","Austria",53,20,300,5,0.33,5,7,7,3
"153","Mujer","Bachiller","Austria",18,5,480,8,0.08,4,3,10,4
"154","Hombre","Formacion Profesional","Austria",22,120,300,5,2,4,9,4,5
"155","Hombre","Master/Doctorado","Austria",42,60,360,6,1,6,9,8,4
"156","Hombre","Primaria","Austria",89,60,NA,NA,1,0,6,6,3
"157","Mujer","Grado Universitario","Austria",25,90,420,7,1.5,1,8,2,4
"158",NA,"Secundaria Inferior","Austria",58,60,NA,NA,1,4,5,10,5
"159","Hombre","Secundaria Superior","Austria",59,70,70,1.17,1.17,2,3,4,4
"160","Mujer","Secundaria Superior","Austria",23,60,360,6,1,6,8,8,4
"161","Hombre","Formacion Profesional","Austria",NA,30,90,1.5,0.5,4,8,8,5
"162",NA,NA,"Austria",NA,60,180,3,1,2,0,10,4
"163","Hombre","Secundaria Superior","Austria",49,150,210,3.5,2.5,2,1,10,5
"164","Hombre","Bachiller","Austria",NA,30,120,2,0.5,5,7,9,5
"165","Mujer","Secundaria Superior","Austria",61,60,NA,NA,1,7,4,1,4
"166","Hombre","Formacion Profesional","Austria",64,120,NA,NA,2,7,8,7,4
"167","Hombre","Formacion Profesional","Austria",39,60,240,4,1,3,9,4,4
"168","Hombre","Secundaria Superior","Austria",65,45,180,3,0.75,7,10,5,3
"169","Mujer","Secundaria Superior","Austria",53,20,120,2,0.33,4,7,10,4
"170","Mujer","Grado Universitario","Austria",68,50,NA,NA,0.83,3,7,9,3
"171","Hombre","Master/Doctorado","Austria",55,60,390,6.5,1,5,9,7,5
"172","Hombre","Formacion Profesional","Austria",73,135,NA,NA,2.25,5,5,7,4
"173","Mujer","Master/Doctorado","Austria",40,5,480,8,0.08,2,9,8,5
"174","Hombre","Formacion Profesional","Austria",44,60,240,4,1,3,8,6,4
"175","Hombre","Primaria","Austria",80,90,NA,NA,1.5,5,8,5,3
"176","Mujer","Secundaria Superior","Austria",70,120,60,1,2,3,10,10,4
"177","Mujer","Formacion Profesional","Austria",39,60,180,3,1,2,6,8,4
"178","Mujer","Grado Universitario","Austria",53,60,720,12,1,4,7,10,4
"179","Hombre","Secundaria Superior","Austria",36,90,600,10,1.5,0,1,8,4
"180","Hombre","Bachiller","Austria",70,60,60,1,1,10,5,9,3
"181","Mujer","Secundaria Superior","Austria",54,30,60,1,0.5,4,6,5,3
"182","Mujer","Grado Universitario","Austria",26,30,600,10,0.5,1,9,8,5
"183","Hombre","Formacion Profesional","Austria",57,60,480,8,1,4,8,7,4
"184","Mujer","Secundaria Inferior","Austria",84,20,NA,NA,0.33,3,7,5,3
"185","Hombre","Secundaria Superior","Austria",68,90,30,0.5,1.5,4,7,8,4
"186","Mujer","Secundaria Superior","Austria",42,120,60,1,2,0,5,9,3
"187","Hombre","Primaria","Austria",84,20,NA,NA,0.33,6,7,7,3
"188","Hombre","Secundaria Inferior","Austria",52,90,480,8,1.5,4,7,8,5
"189","Hombre","Master/Doctorado","Austria",43,60,600,10,1,6,8,8,4
"190","Mujer","Master/Doctorado","Austria",66,120,60,1,2,1,8,8,4
"191","Hombre","Formacion Profesional","Austria",80,30,120,2,0.5,6,8,6,3
"192","Hombre","Formacion Profesional","Austria",64,45,120,2,0.75,3,9,9,3
"193","Hombre","Secundaria Superior","Austria",60,390,NA,NA,6.5,0,4,10,5
"194","Hombre","Secundaria Superior","Austria",23,30,90,1.5,0.5,3,5,7,4
"195","Hombre","Formacion Profesional","Austria",53,60,NA,NA,1,0,8,7,2
"196","Hombre","Formacion Profesional","Austria",64,60,60,1,1,5,9,10,4
"197","Mujer","Master/Doctorado","Austria",41,180,120,2,3,2,8,7,3
"198","Mujer","Master/Doctorado","Austria",80,150,90,1.5,2.5,3,5,9,3
"199","Hombre","Secundaria Superior","Austria",58,150,210,3.5,2.5,6,8,8,4
"200","Hombre","Secundaria Superior","Austria",56,210,NA,NA,3.5,5,5,5,2
"201","Hombre","Master/Doctorado","Austria",43,120,480,8,2,3,9,7,4
"202","Hombre","Formacion Profesional","Austria",41,60,600,10,1,5,7,8,4
"203","Hombre","Formacion Profesional","Austria",56,90,179,2.98,1.5,4,4,5,4
"204","Hombre","Formacion Profesional","Austria",54,90,540,9,1.5,6,10,9,5
"205","Mujer","Secundaria Superior","Austria",65,120,NA,NA,2,5,7,7,4
"206","Mujer","Formacion Profesional","Austria",58,40,120,2,0.67,0,8,5,3
"207","Hombre","Primaria","Austria",55,180,NA,NA,3,1,4,5,5
"208","Hombre","Secundaria Superior","Austria",61,60,120,2,1,5,7,8,4
"209","Mujer","Secundaria Superior","Austria",31,15,300,5,0.25,2,9,8,5
"210","Mujer","Formacion Profesional","Austria",58,60,180,3,1,5,10,10,5
"211","Hombre","Master/Doctorado","Austria",68,60,60,1,1,5,7,9,5
"212","Mujer","Formacion Profesional","Austria",54,30,360,6,0.5,3,7,8,4
"213","Hombre","Master/Doctorado","Austria",73,90,195,3.25,1.5,4,9,8,4
"214","Mujer","Formacion Profesional","Austria",24,30,540,9,0.5,4,8,6,4
"215","Mujer","Formacion Profesional","Austria",32,40,270,4.5,0.67,3,8,7,5
"216","Mujer",NA,"Austria",16,0,210,3.5,0,9,10,5,4
"217","Mujer","Bachiller","Austria",55,10,720,12,0.17,4,8,8,4
"218","Hombre","Formacion Profesional","Austria",53,45,240,4,0.75,2,8,8,5
"219","Mujer","Master/Doctorado","Austria",35,40,480,8,0.67,3,9,8,4
"220","Hombre","Secundaria Superior","Austria",23,20,35,0.58,0.33,3,2,10,5
"221","Mujer","Grado Universitario","Austria",25,20,180,3,0.33,4,9,8,5
"222","Hombre","Formacion Profesional","Austria",74,90,NA,NA,1.5,0,0,NA,2
"223","Hombre","Master/Doctorado","Austria",64,60,30,0.5,1,5,9,8,4
"224","Hombre","Formacion Profesional","Austria",NA,10,NA,NA,0.17,3,8,8,4
"225","Mujer","Formacion Profesional","Austria",27,5,NA,NA,0.08,2,4,10,5
"226","Mujer","Secundaria Inferior","Austria",16,179,970,16.17,2.98,4,9,9,3
"227","Hombre","Secundaria Inferior","Austria",59,60,NA,NA,1,1,3,5,3
"228","Mujer","Formacion Profesional","Austria",49,10,30,0.5,0.17,5,8,10,5
"229","Hombre","Secundaria Superior","Austria",39,120,900,15,2,2,8,7,4
"230","Hombre","Secundaria Superior","Austria",NA,10,NA,NA,0.17,5,10,7,4
"231","Hombre","Formacion Profesional","Austria",58,75,120,2,1.25,4,8,1,4
"232","Mujer","Secundaria Superior","Austria",68,30,NA,NA,0.5,5,6,6,4
"233","Hombre","Secundaria Superior","Austria",62,80,120,2,1.33,3,9,9,4
"234","Mujer","Master/Doctorado","Austria",23,5,180,3,0.08,0,7,0,5
"235","Mujer","Master/Doctorado","Austria",67,150,120,2,2.5,6,9,8,4
"236","Hombre","Secundaria Superior","Austria",30,40,180,3,0.67,0,5,7,4
"237","Hombre","Formacion Profesional","Austria",41,90,180,3,1.5,7,9,8,5
"238","Hombre","Master/Doctorado","Austria",52,30,75,1.25,0.5,1,8,6,3
"239","Hombre","Master/Doctorado","Austria",49,60,480,8,1,7,9,9,5
"240","Hombre","Master/Doctorado","Austria",68,60,60,1,1,4,9,8,4
"241","Mujer","Secundaria Superior","Austria",54,90,210,3.5,1.5,5,8,8,4
"242","Mujer","Secundaria Inferior","Austria",56,60,240,4,1,0,2,1,3
"243","Hombre",NA,"Austria",NA,120,180,3,2,3,5,7,3
"244","Hombre","Master/Doctorado","Austria",53,120,600,10,2,5,8,9,4
"245","Hombre","Secundaria Superior","Austria",49,60,120,2,1,3,9,8,4
"246","Mujer","Master/Doctorado","Austria",34,20,120,2,0.33,6,9,1,5
"247","Mujer","Formacion Profesional","Austria",38,70,45,0.75,1.17,6,8,10,5
"248","Hombre","Bachiller","Austria",73,20,NA,NA,0.33,0,8,6,5
"249","Mujer","Master/Doctorado","Austria",33,15,300,5,0.25,0,5,8,5
"250","Mujer","Grado Universitario","Austria",37,45,120,2,0.75,3,5,8,4
"251","Hombre","Formacion Profesional","Austria",62,60,90,1.5,1,7,9,8,5
"252","Hombre","Formacion Profesional","Austria",38,80,180,3,1.33,7,8,9,5
"253","Hombre","Secundaria Superior","Austria",40,60,180,3,1,3,7,6,5
"254","Hombre","Formacion Profesional","Austria",58,60,30,0.5,1,1,9,9,4
"255","Mujer","Grado Universitario","Austria",57,45,120,2,0.75,2,8,2,4
"256",NA,NA,"Austria",NA,210,570,9.5,3.5,2,7,4,2
"257","Mujer","Bachiller","Austria",46,150,210,3.5,2.5,2,7,9,4
"258","Hombre","Formacion Profesional","Austria",50,30,540,9,0.5,6,8,8,4
"259","Hombre","Master/Doctorado","Austria",62,60,720,12,1,3,6,7,4
"260","Hombre","Master/Doctorado","Austria",47,60,240,4,1,2,8,9,5
"261","Mujer","Master/Doctorado","Austria",57,15,300,5,0.25,1,7,9,4
"262","Hombre","Secundaria Superior","Austria",64,90,90,1.5,1.5,7,9,2,4
"263","Mujer","Secundaria Superior","Austria",76,130,60,1,2.17,5,10,8,4
"264","Hombre","Bachiller","Austria",52,120,60,1,2,2,8,9,5
"265","Mujer","Formacion Profesional","Austria",26,30,60,1,0.5,3,9,10,3
"266","Mujer","Secundaria Superior","Austria",68,10,NA,NA,0.17,NA,8,10,4
"267","Hombre","Secundaria Superior","Austria",83,90,NA,NA,1.5,7,9,9,4
"268","Hombre","Master/Doctorado","Austria",64,120,120,2,2,0,8,10,5
"269","Mujer","Secundaria Superior","Austria",52,10,NA,NA,0.17,4,9,6,4
"270","Mujer","Master/Doctorado","Austria",52,60,240,4,1,5,8,8,4
"271","Mujer","Bachiller","Austria",20,15,120,2,0.25,1,4,9,5
"272","Hombre","Grado Universitario","Austria",37,90,180,3,1.5,3,8,7,5
"273","Mujer","Master/Doctorado","Austria",35,5,60,1,0.08,3,10,10,5
"274","Hombre","Formacion Profesional","Austria",24,60,720,12,1,5,10,8,5
"275","Mujer","Formacion Profesional","Austria",39,30,420,7,0.5,1,9,5,4
"276","Mujer","Bachiller","Austria",51,40,NA,NA,0.67,3,8,5,3
"277","Hombre","Formacion Profesional","Austria",58,120,660,11,2,3,7,6,4
"278","Hombre","Master/Doctorado","Austria",27,60,600,10,1,3,10,9,5
"279","Hombre",NA,"Austria",56,70,NA,NA,1.17,4,6,7,4
"280","Hombre","Master/Doctorado","Austria",47,20,600,10,0.33,5,8,8,4
"281","Mujer","Secundaria Inferior","Austria",70,50,60,1,0.83,5,8,8,4
"282","Hombre","Grado Universitario","Austria",63,1440,180,3,24,4,7,4,4
"283","Hombre","Formacion Profesional","Austria",88,60,60,1,1,2,7,5,3
"284","Mujer","Formacion Profesional","Austria",38,5,30,0.5,0.08,5,5,10,5
"285","Mujer","Bachiller","Austria",61,299,119,1.98,4.98,3,9,4,4
"286","Mujer","Master/Doctorado","Austria",33,45,210,3.5,0.75,2,9,9,5
"287","Hombre","Formacion Profesional","Austria",55,60,390,6.5,1,0,5,10,4
"288","Mujer","Grado Universitario","Austria",60,170,120,2,2.83,4,8,8,5
"289","Hombre","Formacion Profesional","Austria",42,15,150,2.5,0.25,3,8,9,4
"290","Hombre","Secundaria Superior","Austria",74,60,240,4,1,1,4,8,3
"291","Hombre","Secundaria Superior","Austria",86,120,NA,NA,2,7,3,2,3
"292","Mujer","Master/Doctorado","Austria",41,20,NA,NA,0.33,2,9,7,3
"293",NA,"Formacion Profesional","Austria",22,60,NA,NA,1,3,9,8,5
"294","Hombre","Formacion Profesional","Austria",59,30,600,10,0.5,3,8,8,4
"295","Hombre","Formacion Profesional","Austria",39,30,240,4,0.5,3,8,7,4
"296","Mujer","Secundaria Superior","Austria",39,165,1440,24,2.75,5,6,6,5
"297","Mujer","Grado Universitario","Austria",42,35,60,1,0.58,5,7,5,4
"298","Hombre","Secundaria Superior","Austria",59,60,NA,NA,1,3,8,7,4
"299",NA,"Secundaria Inferior","Austria",NA,10,60,1,0.17,4,8,4,4
"300","Mujer","Secundaria Superior","Austria",45,0,NA,NA,0,0,2,7,5
"301","Mujer","Formacion Profesional","Austria",70,130,90,1.5,2.17,7,5,8,4
"302","Mujer","Master/Doctorado","Austria",31,15,300,5,0.25,2,8,9,5
"303","Hombre","Formacion Profesional","Austria",65,50,180,3,0.83,4,7,8,5
"304","Hombre","Secundaria Superior","Austria",55,30,270,4.5,0.5,0,4,7,3
"305","Hombre","Secundaria Inferior","Austria",59,10,NA,NA,0.17,1,3,5,2
"306","Hombre","Formacion Profesional","Austria",72,90,NA,NA,1.5,6,8,6,3
"307","Hombre","Bachiller","Austria",49,30,120,2,0.5,1,8,8,5
"308","Mujer","Grado Universitario","Austria",55,120,60,1,2,3,9,9,5
"309","Hombre","Master/Doctorado","Austria",42,90,420,7,1.5,3,7,8,4
"310","Hombre","Formacion Profesional","Austria",21,30,180,3,0.5,2,6,7,5
"311","Mujer","Grado Universitario","Austria",39,5,300,5,0.08,0,5,8,3
"312","Hombre","Secundaria Superior","Austria",78,45,60,1,0.75,6,8,8,4
"313","Hombre","Secundaria Superior","Austria",40,90,120,2,1.5,0,8,8,4
"314","Mujer","Secundaria Superior","Austria",48,30,360,6,0.5,1,7,9,4
"315","Hombre","Formacion Profesional","Austria",46,30,150,2.5,0.5,0,6,9,5
"316","Hombre","Bachiller","Austria",60,120,600,10,2,4,8,8,4
"317","Mujer","Formacion Profesional","Austria",NA,10,480,8,0.17,2,7,6,5
"318","Mujer","Secundaria Superior","Austria",57,65,45,0.75,1.08,2,6,9,5
"319","Hombre","Master/Doctorado","Austria",49,90,60,1,1.5,1,7,8,4
"320","Mujer","Secundaria Superior","Austria",75,110,190,3.17,1.83,5,4,6,4
"321","Mujer","Secundaria Inferior","Austria",73,60,30,0.5,1,4,8,8,3
"322","Mujer","Grado Universitario","Austria",34,60,300,5,1,3,10,7,5
"323","Mujer","Grado Universitario","Austria",22,60,240,4,1,8,5,2,5
"324","Hombre","Formacion Profesional","Austria",56,60,180,3,1,3,8,2,4
"325","Hombre","Formacion Profesional","Austria",71,80,180,3,1.33,3,6,9,4
"326","Hombre","Secundaria Inferior","Austria",75,150,NA,NA,2.5,0,4,6,2
"327","Mujer","Secundaria Superior","Austria",NA,5,90,1.5,0.08,4,3,5,3
"328","Mujer","Secundaria Superior","Austria",29,60,480,8,1,0,0,8,3
"329","Mujer","Master/Doctorado","Austria",43,60,360,6,1,2,7,9,4
"330","Mujer","Formacion Profesional","Austria",43,5,360,6,0.08,3,6,8,4
"331","Mujer","Grado Universitario","Austria",32,60,300,5,1,4,10,8,5
"332","Mujer","Secundaria Inferior","Austria",NA,90,NA,NA,1.5,3,7,5,3
"333","Mujer","Formacion Profesional","Austria",43,30,120,2,0.5,3,4,8,4
"334","Mujer","Secundaria Superior","Austria",46,20,50,0.83,0.33,5,4,5,5
"335","Hombre","Secundaria Superior","Austria",69,110,120,2,1.83,1,3,8,4
"336","Hombre","Secundaria Superior","Austria",46,10,300,5,0.17,1,7,5,3
"337","Mujer","Bachiller","Austria",67,300,120,2,5,0,8,8,3
"338","Mujer","Secundaria Superior","Austria",34,60,300,5,1,6,5,10,4
"339","Hombre","Formacion Profesional","Austria",29,60,180,3,1,1,7,8,5
"340","Mujer","Secundaria Inferior","Austria",17,60,60,1,1,3,7,4,2
"341","Hombre","Formacion Profesional","Austria",51,60,180,3,1,8,10,8,4
"342","Mujer","Formacion Profesional","Austria",61,20,NA,NA,0.33,3,9,5,2
"343","Mujer","Secundaria Superior","Austria",42,600,600,10,10,0,0,2,3
"344","Mujer","Primaria","Austria",79,20,60,1,0.33,0,5,2,3
