"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"18629","Mujer","Grado Universitario","Serbia",66,60,120,2,1,0,9,7,3
"18630","Hombre","Secundaria Superior","Serbia",48,60,120,2,1,10,10,10,5
"18631","Hombre","Formacion Profesional","Serbia",82,270,100,1.67,4.5,0,10,5,3
"18632","Mujer","Formacion Profesional","Serbia",55,300,300,5,5,4,10,10,3
"18633","Mujer","Secundaria Inferior","Serbia",70,330,230,3.83,5.5,8,5,0,3
"18634","Mujer","Secundaria Superior","Serbia",41,10,360,6,0.17,1,5,3,3
"18635","Hombre","Bachiller","Serbia",33,5,180,3,0.08,0,4,7,3
"18636","Hombre","Bachiller","Serbia",62,60,270,4.5,1,2,6,8,3
"18637","Hombre","Secundaria Superior","Serbia",32,120,180,3,2,1,10,10,5
"18638","Hombre","Grado Universitario","Serbia",30,90,600,10,1.5,0,9,8,5
"18639","Hombre","Grado Universitario","Serbia",74,300,NA,NA,5,1,10,6,3
"18640","Hombre","Bachiller","Serbia",60,50,240,4,0.83,0,9,6,3
"18641","Mujer","Grado Universitario","Serbia",65,60,720,12,1,2,10,9,3
"18642","Mujer","Bachiller","Serbia",76,30,120,2,0.5,2,5,8,3
"18643","Hombre","Bachiller","Serbia",58,30,30,0.5,0.5,0,7,5,3
"18644","Hombre","Master/Doctorado","Serbia",NA,90,150,2.5,1.5,3,8,7,3
"18645","Hombre","Secundaria Inferior","Serbia",69,205,90,1.5,3.42,0,10,7,3
"18646","Hombre","Secundaria Superior","Serbia",60,60,50,0.83,1,7,10,6,4
"18647","Hombre","Bachiller","Serbia",40,60,60,1,1,3,9,6,3
"18648","Mujer","Bachiller","Serbia",70,150,180,3,2.5,8,5,8,4
"18649","Mujer","Secundaria Superior","Serbia",45,30,60,1,0.5,6,9,4,4
"18650",NA,"Secundaria Superior","Serbia",64,60,NA,NA,1,7,9,7,4
"18651","Mujer","Formacion Profesional","Serbia",50,10,150,2.5,0.17,0,5,6,4
"18652","Hombre","Grado Universitario","Serbia",60,60,420,7,1,0,5,5,4
"18653","Hombre","Secundaria Superior","Serbia",44,40,60,1,0.67,NA,NA,5,3
"18654","Mujer","Grado Universitario","Serbia",38,30,120,2,0.5,3,10,10,5
"18655","Hombre","Formacion Profesional","Serbia",68,30,NA,NA,0.5,10,5,7,3
"18656","Hombre","Secundaria Superior","Serbia",70,30,NA,NA,0.5,3,8,5,3
"18657","Mujer","Master/Doctorado","Serbia",41,30,120,2,0.5,2,8,7,4
"18658","Mujer","Grado Universitario","Serbia",73,120,360,6,2,0,7,9,5
"18659","Mujer","Secundaria Inferior","Serbia",79,240,NA,NA,4,0,7,1,3
"18660","Mujer","Secundaria Superior","Serbia",49,60,NA,NA,1,3,8,2,3
"18661","Hombre","Secundaria Superior","Serbia",68,150,NA,NA,2.5,10,10,10,3
"18662","Hombre","Bachiller","Serbia",42,30,240,4,0.5,1,8,6,3
"18663","Hombre","Grado Universitario","Serbia",44,90,630,10.5,1.5,5,10,10,5
"18664","Mujer","Grado Universitario","Serbia",58,14,120,2,0.23,6,9,10,3
"18665","Hombre","Grado Universitario","Serbia",50,90,180,3,1.5,4,8,10,4
"18666","Mujer","Grado Universitario","Serbia",80,60,180,3,1,0,5,5,3
"18667","Hombre","Bachiller","Serbia",73,180,120,2,3,2,7,7,3
"18668","Hombre","Secundaria Superior","Serbia",46,30,120,2,0.5,5,5,5,5
"18669","Hombre",NA,"Serbia",66,225,120,2,3.75,3,5,7,3
"18670","Mujer","Bachiller","Serbia",50,300,120,2,5,0,5,6,3
"18671","Hombre",NA,"Serbia",23,60,720,12,1,0,9,5,5
"18672","Mujer",NA,"Serbia",64,50,120,2,0.83,10,10,5,2
"18673","Hombre","Bachiller","Serbia",77,200,NA,NA,3.33,0,0,10,3
"18674","Mujer","Grado Universitario","Serbia",59,10,120,2,0.17,0,5,4,2
"18675","Hombre","Grado Universitario","Serbia",66,150,90,1.5,2.5,1,9,3,3
"18676","Hombre","Grado Universitario","Serbia",70,60,NA,NA,1,0,1,7,3
"18677","Hombre","Master/Doctorado","Serbia",33,45,300,5,0.75,0,8,6,5
"18678","Mujer","Bachiller","Serbia",41,90,70,1.17,1.5,5,7,8,4
"18679","Mujer","Master/Doctorado","Serbia",35,90,390,6.5,1.5,0,9,7,2
"18680","Hombre","Bachiller","Serbia",52,15,75,1.25,0.25,1,3,3,4
"18681","Hombre","Formacion Profesional","Serbia",16,30,80,1.33,0.5,1,8,0,5
"18682","Mujer","Bachiller","Serbia",24,90,120,2,1.5,3,9,8,4
"18683","Mujer","Grado Universitario","Serbia",26,120,600,10,2,0,10,5,3
"18684","Mujer","Formacion Profesional","Serbia",45,30,240,4,0.5,10,10,10,5
"18685","Mujer","Bachiller","Serbia",46,29,180,3,0.48,3,7,5,4
"18686","Hombre","Grado Universitario","Serbia",82,180,180,3,3,1,10,8,3
"18687","Hombre","Bachiller","Serbia",41,19,480,8,0.32,0,4,0,5
"18688","Hombre","Bachiller","Serbia",29,90,60,1,1.5,8,9,10,3
"18689","Hombre","Secundaria Superior","Serbia",67,90,120,2,1.5,0,10,3,2
"18690","Mujer","Master/Doctorado","Serbia",55,19,300,5,0.32,2,9,7,3
"18691","Hombre","Formacion Profesional","Serbia",72,150,NA,NA,2.5,0,0,0,4
"18692","Hombre","Bachiller","Serbia",76,240,NA,NA,4,10,10,10,4
"18693","Mujer","Master/Doctorado","Serbia",49,60,240,4,1,0,7,8,4
"18694","Hombre","Secundaria Superior","Serbia",63,150,NA,NA,2.5,8,5,7,3
"18695","Hombre","Secundaria Inferior","Serbia",80,150,NA,NA,2.5,8,9,6,3
"18696","Hombre","Bachiller","Serbia",68,120,180,3,2,3,8,8,3
"18697","Hombre","Grado Universitario","Serbia",62,29,120,2,0.48,1,7,7,4
"18698","Mujer","Secundaria Superior","Serbia",67,120,NA,NA,2,8,9,6,3
"18699","Hombre","Bachiller","Serbia",54,10,780,13,0.17,0,9,7,4
"18700","Mujer","Secundaria Superior","Serbia",44,30,180,3,0.5,0,10,0,2
"18701","Hombre","Formacion Profesional","Serbia",72,60,60,1,1,5,5,8,5
"18702","Mujer","Bachiller","Serbia",47,150,270,4.5,2.5,0,5,9,4
"18703","Mujer","Formacion Profesional","Serbia",57,60,180,3,1,0,10,7,5
"18704","Mujer","Bachiller","Serbia",31,60,720,12,1,0,8,8,5
"18705","Mujer","Secundaria Inferior","Serbia",69,150,NA,NA,2.5,3,4,3,2
"18706","Mujer","Master/Doctorado","Serbia",24,15,720,12,0.25,0,10,10,5
"18707","Mujer","Bachiller","Serbia",61,0,10,0.17,0,0,0,2,3
"18708","Mujer","Secundaria Inferior","Serbia",30,120,720,12,2,5,10,5,3
"18709","Hombre","Secundaria Superior","Serbia",41,90,NA,NA,1.5,2,6,6,2
"18710","Mujer","Formacion Profesional","Serbia",74,20,60,1,0.33,0,10,10,3
